1,Honoré de Balzac,2023-01-28 23:32:29
10,Mack Reynolds,2023-01-29 00:34:37
11,Charles G. Blanden,2023-01-29 13:07:04
12,Count Stanislaus Eric Stenbock,2023-01-29 13:12:06
13,Stuart Walcott,2023-01-29 13:20:50
14,Murray Leinster,2023-01-29 13:27:31
15,Donald J. Coxwell,2023-01-29 13:32:52
16,Robert N. Bader,2023-01-29 13:32:52
17,Alfred North Whitehead,2023-01-29 18:35:57
18,Sir William Henry Bragg,2023-01-29 18:45:34
19,Mallanaga Vatsyayana,2023-01-29 19:02:36
2,Charles Dickens,2023-01-28 23:43:01
20,Kate Chopin,2023-01-29 19:14:08
21,Amelia Simmons,2023-01-29 19:24:08
3,Wilkie Collins,2023-01-28 23:43:14
4,Edgar Allen Poe,2023-01-28 19:45:42
5,Will James,2023-01-28 19:54:34
6,Friedrich Nietzsche,2023-01-28 23:12:41
7,Molière,2023-01-28 23:22:49
8,Plato,2023-01-29 00:07:58
9,John Buchan,2023-01-29 00:27:23
